Module                         | Self CPU time | CPU time  | Self CUDA time | CUDA time | CPU Mem | CUDA Mem  | FLOPs       | Parameters | Calls
-------------------------------|---------------|-----------|----------------|-----------|---------|-----------|-------------|------------|------
VisionTransformer              |               |           |                |           |         |           |             |            |      
   │  │  │  ├── ln_2           | 1.084ms       | 3.080ms   | 304.614us      | 609.228us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │  │  └── mlp            |               |           |                |           |         |           |             |            |      
   │  │  │  │  ├── 0           | 12.063ms      | 14.315ms  | 32.803ms       | 65.606ms  | 0 b     | 149.00 Mb | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  ├── 1           | 1.718ms       | 3.100ms   | 932.547us      | 1.243ms   | 0 b     | 74.00 Mb  | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 2           | 1.156ms       | 1.156ms   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  │  │  ├── 3           | 11.186ms      | 13.399ms  | 30.200ms       | 60.400ms  | 0 b     | 37.94 Mb  | 29.75GFLOPs | 2.36M      | 1    
   │  │  │  │  └── 4           | 854.900us     | 854.900us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │  └── encoder_layer_11  |               |           |                |           |         |           |             |            |      
   │  │     ├── ln_1           | 1.234ms       | 3.482ms   | 298.938us      | 597.876us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │     ├── self_attention |               |           |                |           |         |           |             |            |      
   │  │     │  └── out_proj    | 0.000ns       | 0.000ns   | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 590.59K    | 0    
   │  │     ├── dropout        | 12.313ms      | 12.313ms  | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │     ├── ln_2           | 1.096ms       | 3.112ms   | 290.214us      | 580.428us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   │  │     └── mlp            |               |           |                |           |         |           |             |            |      
   │  │        ├── 0           | 12.022ms      | 14.169ms  | 32.806ms       | 65.613ms  | 0 b     | 149.00 Mb | 29.75GFLOPs | 2.36M      | 1    
   │  │        ├── 1           | 1.321ms       | 2.315ms   | 913.989us      | 1.219ms   | 0 b     | 74.00 Mb  | 0 FLOPs     | 0          | 1    
   │  │        ├── 2           | 847.500us     | 847.500us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  │        ├── 3           | 11.067ms      | 13.021ms  | 30.210ms       | 60.420ms  | 0 b     | 37.94 Mb  | 29.75GFLOPs | 2.36M      | 1    
   │           └── 4           | 849.700us     | 849.700us | 0.000ns        | 0.000ns   | 0 b     | 0 b       | 0 FLOPs     | 0          | 1    
   │  └── ln                   | 1.222ms       | 3.439ms   | 306.237us      | 612.474us | 0 b     | 55.50 Mb  | 0 FLOPs     | 1.54K      | 1    
   └── heads                   |               |           |                |           |         |           |             |            |      
      └── head                 | 1.125ms       | 3.280ms   | 102.813us      | 205.626us | 0 b     | 1.24 Mb   | 49.15MFLOPs | 769.00K    | 1    

